# T/J Gamma
0.05 1
0.1 1
0.15 1
0.2 1
0.25 1
0.3 1
0.35 1
0.4 1
0.45 1.00001
0.5 1.00003
0.55 1.00006
0.6 1.00013
0.65 1.00027
0.7 1.00048
0.75 1.00091
0.8 1.00181
0.85 1.00373
0.9 1.00865
0.95 1.02996
1 1.18713
1.05 1.71548
1.1 2.02772
1.15 2.00602
1.2 2.02329
1.25 2.02148
1.3 1.99431
1.35 1.99152
1.4 2.01853
1.45 2.00089
1.5 2.01886
1.55 1.98336
1.6 2.00372
1.65 2.01229
1.7 1.99934
1.75 2.03195
1.8 2.01486
1.85 1.98081
1.9 2.01393
1.95 1.98949
2 1.98554
2.05 1.99172
2.1 1.96502
2.15 2.00401
2.2 1.9898
2.25 1.98341
2.3 1.99861
2.35 1.9691
2.4 1.98166
2.45 2.01326
2.5 2.00447
