# T/J <m>
0.05 -0.047
0.1 0.001
0.15 0.0235
0.2 -0.0125
0.25 0.046
0.3 0.0295
0.35 0.0249941
0.4 0.0159531
0.45 0.0265586
0.5 -0.00804688
0.55 0.0144414
0.6 0.0565703
0.65 0.0189941
0.7 -0.0138477
0.75 -0.0324043
0.8 -0.00662305
0.85 -0.016209
0.9 -0.0280449
0.95 0.0232305
1 -0.00819336
1.05 -0.000529297
1.1 -0.00493555
1.15 -0.0134375
1.2 0.00165625
1.25 -0.000306641
1.3 0.00136914
1.35 0.00240625
1.4 -0.00252148
1.45 -0.00126758
1.5 -0.000734375
1.55 -0.00393945
1.6 -0.000833984
1.65 -0.000921875
1.7 -0.0034707
1.75 -7.22656e-05
1.8 -0.000669922
1.85 0.000572266
1.9 -0.00174219
1.95 -0.00129688
2 -0.00137305
2.05 -0.00202344
2.1 -0.00406836
2.15 0.00154492
2.2 0.00187891
2.25 0.00155078
2.3 0.00167969
2.35 0.000765625
2.4 -0.00249805
2.45 -0.00109766
2.5 -0.00267969
