# T/J <m>
0.05 0.0355
0.1 0.001
0.15 0.013
0.2 0.022
0.25 0.0085
0.3 0.019
0.35 -0.0005
0.4 0.00846484
0.45 0.0459414
0.5 0.00848242
0.55 -0.0156172
0.6 -0.0393535
0.65 -0.0166543
0.7 0.0261836
0.75 -0.00892578
0.8 0.00907422
0.85 -0.0162852
0.9 -0.000669922
0.95 -0.00761328
1 0.010293
1.05 0.016123
1.1 -0.000716797
1.15 0.00666602
1.2 -0.000253906
1.25 0.00563477
1.3 0.00179102
1.35 -0.00194141
1.4 0.00298633
1.45 0.00221875
1.5 -0.00137891
1.55 0.00689453
1.6 0.00199609
1.65 0.000138672
1.7 -0.0010332
1.75 -0.00599023
1.8 0.000226562
1.85 0.00300391
1.9 -0.00100977
1.95 -0.000646484
2 0.00110547
2.05 -0.00274414
2.1 0.00617383
2.15 -0.00227539
2.2 -0.00132617
2.25 -0.00166602
2.3 0.000853516
2.35 -0.00182422
2.4 0.00343164
2.45 0.00401172
2.5 -0.000347656
