# T/J <|m|^2>
0.05 0.4765
0.1 0.5005
0.15 0.51175
0.2 0.49375
0.25 0.523
0.3 0.51475
0.35 0.512471
0.4 0.507854
0.45 0.512807
0.5 0.494682
0.55 0.504914
0.6 0.523466
0.65 0.501026
0.7 0.479877
0.75 0.462008
0.8 0.463828
0.85 0.440316
0.9 0.405881
0.95 0.379614
1 0.247323
1.05 0.103966
1.1 0.0517119
1.15 0.0294526
1.2 0.0216549
1.25 0.0164633
1.3 0.013043
1.35 0.0123829
1.4 0.0109445
1.45 0.0091203
1.5 0.00802876
1.55 0.00783284
1.6 0.00764404
1.65 0.00679572
1.7 0.00623243
1.75 0.00654566
1.8 0.00603012
1.85 0.00549024
1.9 0.00568848
1.95 0.00546736
2 0.00483831
2.05 0.00469896
2.1 0.00445677
2.15 0.00420495
2.2 0.00438647
2.25 0.00411536
2.3 0.00452931
2.35 0.00384335
2.4 0.00405265
2.45 0.00388325
2.5 0.00385626
