# T/J <|m|^2>
0.05 1
0.1 1
0.15 1
0.2 1
0.25 1
0.3 1
0.35 0.999918
0.4 0.99958
0.45 0.99902
0.5 0.99769
0.55 0.994989
0.6 0.990774
0.65 0.983289
0.7 0.973075
0.75 0.956056
0.8 0.932247
0.85 0.895396
0.9 0.833243
0.95 0.739855
1 0.513021
1.05 0.221794
1.1 0.0980707
1.15 0.0604045
1.2 0.0449373
1.25 0.0321469
1.3 0.0273754
1.35 0.0240003
1.4 0.0203103
1.45 0.017492
1.5 0.0166382
1.55 0.0158921
1.6 0.0146413
1.65 0.012981
1.7 0.0131278
1.75 0.0121234
1.8 0.0114562
1.85 0.0109874
1.9 0.0112302
1.95 0.0101937
2 0.00990057
2.05 0.00917506
2.1 0.00917259
2.15 0.0087531
2.2 0.00838625
2.25 0.00835361
2.3 0.00809172
2.35 0.00811168
2.4 0.00808527
2.45 0.00801427
2.5 0.00778227
